Cycle, Dupes, Calories Added, Calories Removed, Net Calories, Stress Added, Stress Removed, Net Stress, Total Germs, Chores Added, Chores Removed, Net Chores, Avg. Working Time, Avg. Travel Time, Avg. Personal Time, Idle Time, Oxygen Added, Oxygen Removed, Net Oxygen, Power Added, Power Removed, Net Power Usage, Power Wasted
 ,  , [kcal], [kcal], [kcal], [Total Stress], [Total Stress], [Total Stress], [All Dupes],  ,  ,  , [Per Dupe], [Per Dupe], [Per Dupe], [Total Idle Time], [kg], [kg], [kg], [kJ], [kJ], [kJ], [kJ]
46, 5, 0.000, -7053.926, -7053.926, 9.311878204345703%, -70.71109771728516%, -61.40975570678711%, 0, 86, -75, 11, 26.745432535807293%, 42.6%, 15.111473592122396%, 0%, 249.000, -239.514, 9.497, 95.520, -88.128, 7.392, -0.400, 
47, 5, 1600.000, -4629.743, -3029.743, 10.3715181350708%, -84.41841888427734%, -74.05292510986328%, 14409, 103, -114, -11, 31.026147460937498%, 43.5%, 13.383006795247397%, 0%, 232.000, -246.065, -14.053, 71.520, -77.556, -6.036, -0.400, 
48, 5, 1200.000, -6932.773, -5732.773, 11.77560043334961%, -95.92231750488281%, -84.14791870117188%, 91760, 111, -123, -12, 26.816121419270832%, 44.63333333333333%, 13.226378377278644%, 0%, 237.000, -232.333, 4.679, 68.520, -63.828, 4.692, -0.400, 
49, 5, 8200.000, -6256.471, 1943.530, 16.8424072265625%, -80.04174041748047%, -63.20698928833008%, 18313, 149, -181, -32, 30.490244547526043%, 34.666666666666664%, 13.537413533528644%, 0.03333332141240438%, 232.000, -216.049, 15.958, 64.920, -66.528, -1.608, -0.400, 
50, 5, 1800.000, -5624.484, -3824.485, 7.6394476890563965%, -99.9526138305664%, -92.31511688232422%, 0, 504, -204, 300, 25.60480550130208%, 41.35555826822917%, 13.211936442057292%, 0%, 257.000, -179.764, 77.243, 70.200, -64.560, 5.640, -0.400, 
51, 5, 7200.000, -6231.092, 968.908, 1.919998288154602%, -105.0999755859375%, -103.1797103881836%, 0, 125, -145, -20, 30.442376708984373%, 37.03333333333333%, 18.094079589843748%, 0%, 257.000, -222.111, 34.896, 74.400, -81.564, -7.164, -0.400, 
52, 5, 1800.000, -4977.011, -3177.012, 4.13333797454834%, -100.84327697753906%, -96.7094955444336%, 541, 141, -123, 18, 36.54464518229167%, 38.63333333333333%, 12.325487263997395%, 0%, 239.500, -216.429, 23.078, 132.840, -128.784, 4.056, -0.400, 
53, 5, 0.000, -6244.144, -6244.144, 1.916664958000183%, -96.30213165283203%, -94.38539123535156%, 0, 173, -139, 34, 33.742777506510414%, 39.96666666666667%, 12.936449178059895%, 0.8611111640930176%, 219.000, -220.930, -1.921, 96.960, -88.476, 8.484, -0.400, 
54, 5, 3200.000, -5599.797, -2399.798, 2.943330764770508%, -104.56243896484375%, -101.61882781982422%, 8383, 150, -122, 28, 33.211716715494795%, 42%, 13.27247823079427%, 0%, 197.000, -214.665, -17.659, 44.520, -56.508, -11.988, -0.400, 
55, 5, 0.000, -3542.262, -3542.262, 4.146666526794434%, -94.7174072265625%, -90.57107543945312%, 0, 129, -134, -5, 27.566387939453126%, 47.23333333333333%, 11.907811482747396%, 0%, 184.000, -158.797, 25.197, 72.480, -67.632, 4.848, -0.400, 
56, 5, 0.000, -5239.077, -5239.077, 5.580043315887451%, -106.09129333496094%, -100.51131439208984%, 0, 289, -271, 18, 33.167439778645836%, 38.96666666666667%, 12.338261922200521%, 0%, 202.000, -172.418, 29.580, 63.000, -52.284, 10.716, -0.400, 
57, 5, 1600.000, -2802.839, -1202.839, 7.440208911895752%, -83.48857879638672%, -76.05029296875%, 0, 151, -180, -29, 28.956227620442707%, 42.06666666666667%, 12.124425252278646%, 0%, 183.000, -172.460, 10.539, 87.360, -90.696, -3.336, -0.400, 
58, 5, 2400.000, -6516.397, -4116.396, 4.603349208831787%, -101.88489532470703%, -97.28111267089844%, 7144, 229, -183, 46, 19.173480224609374%, 40.36666666666667%, 17.078216552734375%, 0%, 140.000, -135.512, 4.478, 21.120, -29.784, -8.664, -0.400, 
59, 5, 0.000, -4437.773, -4437.773, 4.283336162567139%, -99.12098693847656%, -94.83783721923828%, 0, 242, -191, 51, 24.901011149088543%, 38.766666666666666%, 12.67595723470052%, 0%, 209.000, -144.254, 64.746, 267.840, -145.632, 122.208, -102.706, 
60, 5, 6400.000, -5345.665, 1054.335, 15.820469856262207%, -105.35919952392578%, -89.53870391845703%, 9347, 172, -149, 23, 28.15075480143229%, 36.56666666666667%, 13.313023885091146%, 9.038888931274414%, 193.000, -154.276, 38.718, 354.960, -210.852, 144.108, -145.410, 
61, 5, 0.000, -4948.504, -4948.504, 6.730113983154297%, -118.6496353149414%, -111.9187240600586%, 0, 205, -185, 20, 29.579384358723956%, 37.06666666666667%, 13.43910420735677%, 0%, 193.638, -165.109, 28.527, 249.240, -176.772, 72.468, -68.672, 
62, 6, 0.000, -3398.627, -3398.627, 25.42049217224121%, -218.23471069335938%, -192.83056640625%, 0, 223, -183, 40, 25.065248277452255%, 30.277777777777775%, 23.864274766710068%, 0%, 253.496, -164.940, 88.563, 105.960, -111.456, -5.496, -4.750, 
